Function                                                                                                                                                                                                                                                   Function Stack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CPU Time  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Source File                   Start Address
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  --------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------  -------------
                                                                                                                                                                                                                                                           __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  libc.so.6       __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       libc-start.c                  0x29dc0      
                                                                                                                                                                                                                                                           _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  search_c4-10m   _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]                     0x43b0       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::coeffRef                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0.012s  search_c4-10m   Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::coeffRef(long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      DenseCoeffsBase.h             0x104b0      
                                                                                                                                                                                                                                                           mul<float>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            0.012s  search_c4-10m   mul<float>(Matrix<float> const&, Matrix<float> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       matrix.h                      0x1ee30      
                                                                                                                                                                                                                                                           main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0s  search_c4-10m   main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         search.cpp                    0x391e       
                                                                                                                                                                                                                                                           __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  libc.so.6       __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       libc-start.c                  0x29dc0      
                                                                                                                                                                                                                                                           _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  search_c4-10m   _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]                     0x43b0       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
_ZNK5Eigen8internal7conj_ifILb0EE5pconjIDv4_dEERKT_S7_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           0.012s  search_c4-10m   _ZNK5Eigen8internal7conj_ifILb0EE5pconjIDv4_dEERKT_S7_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ConjHelper.h                  0x4530       
                                                                                                                                                                                                                                                           _ZNK5Eigen8internal11conj_helperIDv4_dS2_Lb0ELb0EE5pmaddERKS2_S5_S5_                                                                                                                                                                                                                                                                                                                                                                                                                                  0.012s  search_c4-10m   _ZNK5Eigen8internal11conj_helperIDv4_dS2_Lb0ELb0EE5pmaddERKS2_S5_S5_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ConjHelper.h                  0x4c80       
                                                                                                                                                                                                                                                           _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi0EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                        0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi0EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           GeneralBlockPanelKernel.h     0x72e0       
                                                                                                                                                                                                                                                           Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1>, (int)12, (int)4, (bool)0, (bool)0>::operator()                                                                                                                                                                                                                                                                                                                                0s  search_c4-10m   Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1>, (int)12, (int)4, (bool)0, (bool)0>::operator()(Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1> const&, double const*, double const*, long, long, long, double, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   GeneralBlockPanelKernel.h     0x18470      
                                                                                                                                                                                                                                                           Eigen::internal::general_matrix_matrix_product<long, double, (int)0, (bool)0, double, (int)0, (bool)0, (int)0, (int)1>::run                                                                                                                                                                                                                                                                                                                                                                               0s  search_c4-10m   Eigen::internal::general_matrix_matrix_product<long, double, (int)0, (bool)0, double, (int)0, (bool)0, (int)0, (int)1>::run(long, long, long, double const*, long, double const*, long, double*, long, long, double, Eigen::internal::level3_blocking<double, double>&, Eigen::internal::GemmParallelInfo<long>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            GeneralMatrixMatrix.h         0x1bd70      
                                                                                                                                                                                                                                                           Eigen::internal::gemm_functor<double, long, Eigen::internal::general_matrix_matrix_product<long, double, (int)0, (bool)0, double, (int)0, (bool)0, (int)0, (int)1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::internal::gemm_blocking_space<(int)0, double, double, (int)-1, (int)-1, (int)-1, (int)1, (bool)0>>::operator()        0s  search_c4-10m   Eigen::internal::gemm_functor<double, long, Eigen::internal::general_matrix_matrix_product<long, double, (int)0, (bool)0, double, (int)0, (bool)0, (int)0, (int)1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::internal::gemm_blocking_space<(int)0, double, double, (int)-1, (int)-1, (int)-1, (int)1, (bool)0>>::operator()(long, long, long, long, Eigen::internal::GemmParallelInfo<long>*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   GeneralMatrixMatrix.h         0x1c4b0      
                                                                                                                                                                                                                                                           Eigen::internal::generic_product_impl<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::DenseShape, Eigen::DenseShape, (int)8>::scaleAndAddTo<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>                                                                                                                                                                                               0s  search_c4-10m   Eigen::internal::generic_product_impl<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::DenseShape, Eigen::DenseShape, (int)8>::scaleAndAddTo<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>(Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>&, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1> const&, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1> const&, double const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           GeneralMatrixMatrix.h         0x1e8a0      
                                                                                                                                                                                                                                                           Eigen::internal::generic_product_impl<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::DenseShape, Eigen::DenseShape, (int)8>::evalTo<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>                                                                                                                                                                                                      0s  search_c4-10m   Eigen::internal::generic_product_impl<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::DenseShape, Eigen::DenseShape, (int)8>::evalTo<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>(Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>&, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1> const&, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 GeneralMatrixMatrix.h         0x1eb30      
                                                                                                                                                                                                                                                           Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>::Matrix<Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>>                                                                                                                                                                                                                                                                   0s  search_c4-10m   Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>::Matrix<Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>>(Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Matrix.h                      0x1ece0      
                                                                                                                                                                                                                                                           Eigen::internal::call_assignment<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>, Eigen::internal::assign_op<double, double>>                                                                                                                                                                                             0s  search_c4-10m   Eigen::internal::call_assignment<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>, Eigen::internal::assign_op<double, double>>(Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>&, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0> const&, Eigen::internal::assign_op<double, double> const&, Eigen::internal::enable_if<Eigen::internal::evaluator_assume_aliasing<Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>, Eigen::internal::evaluator_traits<Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>>::Shape>::value, void*>::type)  AssignEvaluator.h             0x1ed30      
                                                                                                                                                                                                                                                           Eigen::internal::call_assignment<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>>                                                                                                                                                                                                                                         0s  search_c4-10m   Eigen::internal::call_assignment<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0>>(Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>&, Eigen::Product<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)0> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   AssignEvaluator.h             0x1edb0      
                                                                                                                                                                                                                                                           mul<float>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                0s  search_c4-10m   mul<float>(Matrix<float> const&, Matrix<float> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       matrix.h                      0x1ee30      
                                                                                                                                                                                                                                                           main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0s  search_c4-10m   main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         search.cpp                    0x391e       
                                                                                                                                                                                                                                                           __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  libc.so.6       __libc_start_main_impl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       libc-start.c                  0x29dc0      
                                                                                                                                                                                                                                                           _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0s  search_c4-10m   _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]                     0x43b0       
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
